atomicNumber,symbol,name,atomicMass,cpkColorHex,electronConfiguration,electronegativityPauling,atomicRadiusPM,ionRadiusInPM,vanderWaalsRadiusInPM,IE-1inkJ/mol,EAinkJ/mol,standardStates,bondingType,meltingPointInK,boilingPointInK,densityIng/mL,metalorNonmetal,yearDiscovered
68,Er,Erbium,167.259(3),0E+00,[Xe]4f126s2,1.24,,89(+3),,589,-50,solid,metallic,1770,3141,9.07,9,1842
69,Tm,Thulium,168.93421(2),00D452,[Xe]4f136s2,1.25,,103(+2),,597,-50,solid,metallic,1818,2223,9.32,9,1879
70,Yb,Ytterbium,173.054(5),00BF38,[Xe]4f146s2,1.1,,102(+2),,603,-50,solid,metallic,1092,1469,6.57,9,1878
71,Lu,Lutetium,174.9668(1),00AB24,[Xe]4f145d16s2,1.27,160,86.1(+3),,524,-50,solid,metallic,1936,3675,9.84,8,1907
72,Hf,Hafnium,178.49(2),4DC2FF,[Xe]4f145d26s2,1.3,150,71(+4),,659,0,solid,metallic,2506,4876,13.31,8,1923
73,Ta,Tantalum,180.94788(2),4DA6FF,[Xe]4f145d36s2,1.5,138,72(+3),,761,-31,solid,metallic,3290,5731,16.65,8,1802
74,W,Tungsten,183.84(1),2194D6,[Xe]4f145d46s2,2.36,146,66(+4),,770,-79,solid,metallic,3695,5828,19.25,8,1783
75,Re,Rhenium,186.207(1),267DAB,[Xe]4f145d56s2,1.9,159,63(+4),,760,-15,solid,metallic,3459,5869,21.02,8,1925
76,Os,Osmium,190.23(3),266696,[Xe]4f145d66s2,2.2,128,63(+4),,840,-106,solid,metallic,3306,5285,22.59,8,1803
77,Ir,Iridium,192.217(3),175487,[Xe]4f145d76s2,2.2,137,68(+3),,880,-151,solid,metallic,2739,4701,22.56,8,1803
78,Pt,Platinum,195.084(9),D0D0E0,[Xe]4f145d96s1,2.28,128,86(+2),175,870,-205,solid,metallic,2041,4098,21.09,8,Ancient
79,Au,Gold,196.966569(4),FFD123,[Xe]4f145d106s1,2.54,144,137(+1),166,890,-223,solid,metallic,1337,3129,19.3,8,Ancient
80,Hg,Mercury,200.59(2),B8B8D0,[Xe]4f145d106s2,2,149,119(+1),155,1007,0,liquid,metallic,234,630,13.53,8,Ancient
81,Tl,Thallium,204.3833(2),A6544D,[Xe]4f145d106s26p1,2.04,148,150(+1),196,589,-19,solid,metallic,577,1746,11.85,7,1861
82,Pb,Lead,207.2(1),575961,[Xe]4f145d106s26p2,2.33,147,119(+2),202,716,-35,solid,metallic,601,2022,11.34,7,Ancient
83,Bi,Bismuth,208.98040(1),9E4FB5,[Xe]4f145d106s26p3,2.02,146,103(+3),,703,-91,solid,metallic,544,1837,9.78,7,Ancient
84,Po,Polonium,209,AB5C00,[Xe]4f145d106s26p4,2,,94(+4),,812,-183,solid,metallic,527,1235,9.2,5,1898
85,At,Astatine,210,754F45,[Xe]4f145d106s26p5,2.2,,62(+7),,920,-270,solid,covalentnetwork,575,,,6,1940
86,Rn,Radon,222,428296,[Xe]4f145d106s26p6,,145,,,1037,,gas,atomic,202,211,0.01,2,1900
87,Fr,Francium,223,420066,[Rn]7s1,0.7,,180(+1),,380,,solid,metallic,,,,3,1939
88,Ra,Radium,226,007D00,[Rn]7s2,0.9,,148(+2),,509,,solid,metallic,973,2010,5,4,1898
89,Ac,Actinium,227,70ABFA,[Rn]6d17s2,1.1,,112(+3),,499,,solid,metallic,1323,3473,10.07,10,1899
90,Th,Thorium,232.03806(2),00BAFF,[Rn]6d27s2,1.3,,94(+4),,587,,solid,metallic,2023,5093,11.72,10,1828
